split,subject,protocol,tau,gated,coverage,selective_risk,n_windows
cross-session/s01/d02_t01,s01,cross-session,0.9,True,0.7255895966497685,0.01275820170109356,13611
cross-session/s01/d02_t01,s01,cross-session,0.95,True,0.5946660789067666,0.007907091672844082,13611
cross-session/s01/d02_t01,s01,cross-session,0.99,True,0.29608404966571156,0.004962779156327543,13611
cross-session/s01/d02_t02,s01,cross-session,0.5,False,1.0,0.08122090015519917,13531
cross-session/s01/d02_t02,s01,cross-session,0.55,True,0.9803414381789963,0.07478326422917451,13531
cross-session/s01/d02_t02,s01,cross-session,0.6,True,0.9604611632547484,0.06771314250538628,13531
cross-session/s01/d02_t02,s01,cross-session,0.65,True,0.9397679402852709,0.06078955646429695,13531
cross-session/s01/d02_t02,s01,cross-session,0.7,True,0.9151577858251423,0.053864168618266976,13531
cross-session/s01/d02_t02,s01,cross-session,0.75,True,0.8875175522873402,0.047381130818552754,13531
cross-session/s01/d02_t02,s01,cross-session,0.8,True,0.8581036139235829,0.04065110670915511,13531
cross-session/s01/d02_t02,s01,cross-session,0.85,True,0.8133914714359619,0.034163183717972015,13531
cross-session/s01/d02_t02,s01,cross-session,0.9,True,0.7537506466632178,0.025884890675556427,13531
cross-session/s01/d02_t02,s01,cross-session,0.95,True,0.6460719828541867,0.01795927705330588,13531
cross-session/s01/d02_t02,s01,cross-session,0.99,True,0.39501884561377576,0.0054256314312441534,13531
cross-session/s01/d03_t01,s01,cross-session,0.5,False,1.0,0.07604450666863165,13571
cross-session/s01/d03_t01,s01,cross-session,0.55,True,0.9747255176479257,0.06644995464166918,13571
cross-session/s01/d03_t01,s01,cross-session,0.6,True,0.9479036180089898,0.05884639303482587,13571
cross-session/s01/d03_t01,s01,cross-session,0.65,True,0.9224817625819762,0.050802779774742395,13571
cross-session/s01/d03_t01,s01,cross-session,0.7,True,0.8899123130204112,0.04264304049018796,13571
cross-session/s01/d03_t01,s01,cross-session,0.75,True,0.8541006558101835,0.03554481925631956,13571
cross-session/s01/d03_t01,s01,cross-session,0.8,True,0.8129098813646747,0.02973168963016679,13571
cross-session/s01/d03_t01,s01,cross-session,0.85,True,0.7594871416992115,0.02260599592509945,13571
cross-session/s01/d03_t01,s01,cross-session,0.9,True,0.6831478888807015,0.016718800560888793,13571
cross-session/s01/d03_t01,s01,cross-session,0.95,True,0.5508068675852922,0.011237458193979933,13571
cross-session/s01/d03_t01,s01,cross-session,0.99,True,0.27175595018790066,0.0035249457700650758,13571
cross-session/s01/d03_t02,s01,cross-session,0.5,False,1.0,0.08064753495217071,13590
cross-session/s01/d03_t02,s01,cross-session,0.55,True,0.976747608535688,0.07164381497664607,13590
cross-session/s01/d03_t02,s01,cross-session,0.6,True,0.9519499632082413,0.06268841307876633,13590
cross-session/s01/d03_t02,s01,cross-session,0.65,True,0.9253127299484916,0.055268389662027836,13590
cross-session/s01/d03_t02,s01,cross-session,0.7,True,0.8946284032376748,0.04828096726435269,13590
cross-session/s01/d03_t02,s01,cross-session,0.75,True,0.8625459896983075,0.041033953250298585,13590
cross-session/s01/d03_t02,s01,cross-session,0.8,True,0.8281089036055923,0.03483205971210236,13590
cross-session/s01/d03_t02,s01,cross-session,0.85,True,0.7782928623988227,0.028647064384986293,13590
